Date,UserID,RecipeID,Event
2022-01-10 12:06:28,1468,53,view_recipe
2022-01-10 12:09:25,1468,53,short_description
2022-01-10 12:11:09,1468,53,long_description
2022-01-10 12:13:36,1468,53,steps
2022-01-10 12:14:59,1004,250,view_recipe
2022-01-10 12:15:27,1004,250,short_description
2022-01-10 12:16:24,1004,250,long_description
2022-01-10 12:19:19,1004,250,steps
2022-01-10 12:20:59,1004,250,view_comments
2022-01-10 12:33:38,975,339,view_recipe
2022-01-10 12:35:09,975,339,short_description
2022-01-10 12:37:46,1866,268,view_recipe
2022-01-10 12:38:06,975,339,steps
2022-01-10 12:40:42,1866,268,short_description
2022-01-10 12:43:42,1866,268,steps
2022-01-10 12:45:16,1866,268,view_comments
2022-01-10 13:03:38,1279,319,view_recipe
2022-01-10 13:03:53,1279,319,short_description
2022-01-10 13:06:21,1279,319,steps
2022-01-10 13:08:03,1279,319,view_comments
2022-01-10 13:21:36,1586,311,view_recipe
2022-01-10 13:24:20,1586,311,short_description
2022-01-10 13:24:39,1586,311,long_description
2022-01-10 13:25:45,1586,311,steps
2022-01-10 13:28:20,1586,311,view_comments
2022-01-10 13:40:21,110,180,view_recipe
2022-01-10 13:41:49,110,180,short_description
2022-01-10 13:43:50,110,180,long_description
2022-01-10 13:45:49,110,180,steps
2022-01-10 13:56:31,1911,299,view_recipe
2022-01-10 13:57:51,1911,299,short_description
2022-01-10 14:00:43,1911,299,steps
2022-01-10 14:19:34,764,385,view_recipe
2022-01-10 14:19:39,764,385,short_description
2022-01-10 14:21:38,764,385,long_description
2022-01-10 14:22:24,764,385,steps
2022-01-10 14:28:39,345,6,view_recipe
2022-01-10 14:28:44,345,6,short_description
2022-01-10 14:30:16,345,6,steps
2022-01-10 14:32:30,1738,124,view_recipe
2022-01-10 14:33:00,1738,124,short_description
2022-01-10 14:33:46,1738,124,long_description
2022-01-10 14:35:47,1738,124,steps
2022-01-10 15:22:45,1698,215,view_recipe
2022-01-10 15:25:34,1698,215,short_description
2022-01-10 15:27:57,1698,215,steps
2022-01-10 15:30:12,1682,456,view_recipe
2022-01-10 15:32:29,1682,456,short_description
2022-01-10 15:33:53,1682,456,steps
2022-01-10 15:53:50,1603,180,view_recipe
2022-01-10 15:56:09,1603,180,short_description
2022-01-10 15:58:59,1603,180,steps
2022-01-10 16:01:02,1603,180,view_comments
2022-01-10 17:38:05,113,156,view_recipe
2022-01-10 17:39:00,1999,29,view_recipe
2022-01-10 17:39:13,1999,29,short_description
2022-01-10 17:39:54,113,156,short_description
2022-01-10 17:40:47,1999,29,steps
2022-01-10 17:41:23,113,156,long_description
2022-01-10 17:44:09,113,156,steps
2022-01-10 18:12:32,1420,253,view_recipe
2022-01-10 18:14:01,1420,253,short_description
2022-01-10 18:16:34,1420,253,steps
2022-01-10 18:50:35,1649,329,view_recipe
2022-01-10 18:52:07,1173,239,view_recipe
2022-01-10 18:52:13,1649,329,short_description
2022-01-10 18:52:45,1649,329,steps
2022-01-10 18:54:13,1173,239,short_description
2022-01-10 18:55:03,1649,329,view_comments
2022-01-10 18:55:51,1173,239,long_description
2022-01-10 18:56:57,1173,239,steps
2022-01-10 19:30:31,498,496,view_recipe
2022-01-10 19:32:36,498,496,short_description
2022-01-10 19:35:34,498,496,long_description
2022-01-10 19:37:17,498,496,steps
2022-01-10 20:06:45,1660,136,view_recipe
2022-01-10 20:07:55,1660,136,short_description
2022-01-10 20:10:47,1660,136,long_description
2022-01-10 20:13:15,1660,136,steps
2022-01-10 20:18:32,955,73,view_recipe
2022-01-10 20:19:05,416,497,view_recipe
2022-01-10 20:19:27,416,497,steps
2022-01-10 20:20:10,955,73,short_description
2022-01-10 20:21:58,955,73,long_description
2022-01-10 20:22:24,955,73,steps
2022-01-10 20:23:33,955,73,view_comments
2022-01-10 20:25:06,770,91,view_recipe
2022-01-10 20:27:52,770,91,short_description
2022-01-10 20:28:00,770,91,long_description
2022-01-10 20:30:46,770,91,steps
2022-01-10 20:31:32,770,91,view_comments
2022-01-10 22:01:13,547,216,view_recipe
2022-01-10 22:03:26,547,216,short_description
2022-01-10 22:06:00,547,216,steps
2022-01-10 22:07:37,547,216,view_comments
2022-01-10 23:04:30,895,148,view_recipe
